jm.code,jm.term,os.type,os.id,os.bnf_code,os.nm
0302000,Corticosteroids (respiratory),,,,
0302000C0,Beclometasone dipropionate,,,,
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3175711000001102,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3175911000001100,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Mylan)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3176711000001105,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Kent Pharmaceuticals Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3177111000001107,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,4773611000001100,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Teva UK Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,11400011000001108,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Almus Pharmaceuticals Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,17793411000001101,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,vmp,35909511000001107,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler
0302000C0AA,Beclometasone dipropionate (Inhalation),,,,
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,3178211000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,3178411000001103,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Mylan)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,3179011000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,4773811000001101,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Teva UK Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,7379111000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Kent Pharmaceuticals Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,11400511000001100,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Almus Pharmaceuticals Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,17794111000001108,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,vmp,320537007,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,3179811000001108,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,3180011000001102,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Mylan)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,3180911000001103,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,4774011000001109,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Teva UK Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,7379311000001100,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Kent Pharmaceuticals Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,11400811000001102,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Almus Pharmaceuticals Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,17833911000001100,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,vmp,35908811000001103,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler
0302000C0AAAEAE,Beclometasone 100microgram inhalation powder capsules,,,,
0302000C0AAAFAF,Beclometasone 200microgram inhalation powder capsules,vmp,320535004,0302000C0AAAFAF,Beclometasone 200microgram inhalation powder capsules
0302000C0AAAGAG,Beclometasone 100microgram inhalation pdr blist with device,vmp,35907711000001105,0302000C0AAAGAG,Beclometasone 100microgram inhalation powder blisters with device
0302000C0AAAHAH,Beclometasone 200microgram inhalation pdr blist with device,vmp,35908311000001107,0302000C0AAAHAH,Beclometasone 200microgram inhalation powder blisters with device
0302000C0AAAIAI,Beclometasone 400microgram inhalation powder capsules,vmp,320520000,0302000C0AAAIAI,Beclometasone 400microgram inhalation powder capsules
0302000C0AAAJAJ,Beclometasone 400microgram inhalation pdr blist with device,vmp,35909011000001104,0302000C0AAAJAJ,Beclometasone 400microgram inhalation powder blisters with device
0302000C0AAAKAK,Beclometasone 200microgram inhalation powder blisters,vmp,35908211000001104,0302000C0AAAKAK,Beclometasone 200microgram inhalation powder blisters
0302000C0AAALAL,Beclometasone 100microgram inhalation powder blisters,vmp,35907611000001101,0302000C0AAALAL,Beclometasone 100microgram inhalation powder blisters
0302000C0AAANAN,Salbutamol 100microg/dose / Beclometasone 50microg/dose inh,,,,
0302000C0AAAPAP,Salbutamol 400microg/Beclometasone 200microg pdr caps,,,,
0302000C0AAAQAQ,Beclometasone 400microgram inhalation powder blisters,vmp,35908911000001108,0302000C0AAAQAQ,Beclometasone 400microgram inhalation powder blisters
0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler,amp,4332611000001107,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler,amp,15052211000001104,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler (Sigma Pharmaceuticals Plc)
0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler,vmp,35908511000001101,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler
0302000C0AAASAS,Beclometasone 50micrograms/dose breath actuated inhaler,vmp,35909211000001109,0302000C0AAASAS,Beclometasone 50micrograms/dose breath actuated inhaler
0302000C0AAATAT,Beclometasone 100micrograms/dose breath actuated inhaler,vmp,35907811000001102,0302000C0AAATAT,Beclometasone 100micrograms/dose breath actuated inhaler
0302000C0AAAUAU,Beclometasone 250micrograms/dose breath actuated inhaler,vmp,35908611000001102,0302000C0AAAUAU,Beclometasone 250micrograms/dose breath actuated inhaler
0302000C0AABEBE,Beclometasone 50micrograms/dose inhaler CFC free,vmp,35909611000001106,0302000C0AABEBE,Beclometasone 50micrograms/dose inhaler CFC free
0302000C0AABFBF,Beclometasone 100micrograms/dose inhaler CFC free,vmp,35908111000001105,0302000C0AABFBF,Beclometasone 100micrograms/dose inhaler CFC free
0302000C0AABGBG,Beclometasone 50micrograms/dose breath actuated inh CFC free,vmp,35909311000001101,0302000C0AABGBG,Beclometasone 50micrograms/dose breath actuated inhaler CFC free
0302000C0AABHBH,Beclometasone 100mcg/dose breath actuated inhaler CFC free,vmp,35907911000001107,0302000C0AABHBH,Beclometasone 100micrograms/dose breath actuated inhaler CFC free
0302000C0BBAAAC,Becloforte 250micrograms/dose inhaler,amp,3180211000001107,0302000C0BBAAAC,Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd)
0302000C0AABIBI,Beclometasone 50micrograms/dose dry powder inhaler,vmp,35909411000001108,0302000C0AABIBI,Beclometasone 50micrograms/dose dry powder inhaler
0302000C0BCACAE,Becotide 100microgram Rotacaps,amp,3190311000001103,0302000C0BCACAE,Becotide 100microgram Rotacaps (GlaxoSmithKline UK Ltd)
0302000C0AABJBJ,Beclometasone 100micrograms/dose dry powder inhaler,vmp,35908011000001109,0302000C0AABJBJ,Beclometasone 100micrograms/dose dry powder inhaler
0302000C0BCADAF,Becotide 200microgram Rotacaps,amp,3192111000001101,0302000C0BCADAF,Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd)
0302000C0AABKBK,Beclometasone 250micrograms/dose dry powder inhaler,vmp,35908711000001106,0302000C0AABKBK,Beclometasone 250micrograms/dose dry powder inhaler
0302000C0BCAGAI,Becotide 400microgram Rotacaps,amp,3194011000001108,0302000C0BCAGAI,Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd)
0302000C0AABLBL,Salbutamol 200microg/Beclometasone 100microg pdr caps,,,,
0302000C0BCAHAB,Becotide 100 inhaler,amp,3178611000001100,0302000C0BCAHAB,Becotide 100 inhaler (GlaxoSmithKline UK Ltd)
0302000C0AABSBS,Beclometasone 400micrograms/dose dry powder inhaler,vmp,35909111000001103,0302000C0AABSBS,Beclometasone 400micrograms/dose dry powder inhaler
0302000C0BCAIAA,Becotide 50 inhaler,amp,3176211000001103,0302000C0BCAIAA,Becotide 50 inhaler (GlaxoSmithKline UK Ltd)
0302000C0AABUBU,Beclometasone 200micrograms/dose dry powder inhaler,vmp,35908411000001100,0302000C0AABUBU,Beclometasone 200micrograms/dose dry powder inhaler
0302000C0BCAQAR,Becotide 200 inhaler,amp,3179311000001104,0302000C0BCAQAR,Becotide 200 inhaler (GlaxoSmithKline UK Ltd)
0302000C0AABVBV,Beclometasone 200micrograms/dose inhaler CFC free,vmp,10621011000001101,0302000C0AABVBV,Beclometasone 200micrograms/dose inhaler CFC free
0302000C0BDAAAN,Ventide inhaler,amp,3292811000001106,0302000C0BDAAAN,Ventide inhaler (GlaxoSmithKline UK Ltd)
0302000C0AABWBW,Beclometasone 250micrograms/dose inhaler CFC free,vmp,10621111000001100,0302000C0AABWBW,Beclometasone 250micrograms/dose inhaler CFC free
0302000C0BEABAU,AeroBec Forte 250 Autohaler,amp,3182411000001107,0302000C0BEABAU,AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd)
0302000C0AABXBX,Beclometasone 100microg/Formoterol 6microg/dose inh CFCfree,vmp,12911011000001100,0302000C0AABXBX,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free
0302000C0BEACAT,AeroBec 100 Autohaler,amp,3181411000001102,0302000C0BEACAT,AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd)
0302000C0AABYBY,Beclometasone 100microg/Formoterol 6microg/dose dry pdr inh,vmp,26148711000001101,0302000C0AABYBY,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
0302000C0BFAAAA,Beclazone 50 inhaler,amp,3176411000001104,0302000C0BFAAAA,Beclazone 50 inhaler (Teva UK Ltd)
0302000C0AABZBZ,Beclometasone 200microg/Formoterol 6microg/dose inh CFC free,vmp,31087411000001106,0302000C0AABZBZ,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free
0302000C0BFABAB,Beclazone 100 inhaler,amp,3178811000001101,0302000C0BFABAB,Beclazone 100 inhaler (Teva UK Ltd)
0302000C0AACACA,Beclometasone 200microg/Formoterol 6microg/dose dry pdr inh,vmp,31087511000001105,0302000C0AACACA,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
0302000C0BFACAC,Beclazone 250 inhaler,amp,3180611000001109,0302000C0BFACAC,Beclazone 250 inhaler (Teva UK Ltd)
0302000C0BB,Becloforte,,,,
0302000C0BFADAS,Beclazone 50 Easi-Breathe inhaler,amp,3604611000001104,0302000C0BFADAS,Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd)
0302000C0BFAEAT,Beclazone 100 Easi-Breathe inhaler,amp,3181711000001108,0302000C0BFAEAT,Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd)
0302000C0BBACAJ,Becloforte 400microgram disks with Diskhaler,,,,
0302000C0BFAFAU,Beclazone 250 Easi-Breathe inhaler,amp,3182611000001105,0302000C0BFAFAU,Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd)
0302000C0BBADAQ,Becloforte 400microgram disks,,,,
0302000C0BFAGAR,Beclazone 200 inhaler,amp,3179511000001105,0302000C0BFAGAR,Beclazone 200 inhaler (Teva UK Ltd)
0302000C0BC,Becotide,,,,
0302000C0BGAAAA,Filair 50 inhaler,amp,3175211000001109,0302000C0BGAAAA,Filair 50 inhaler (Meda Pharmaceuticals Ltd)
0302000C0BGABAB,Filair 100 inhaler,amp,3177911000001105,0302000C0BGABAB,Filair 100 inhaler (Meda Pharmaceuticals Ltd)
0302000C0BHAAAG,Becodisks 100microgram with Diskhaler,amp,3088611000001100,0302000C0BHAAAG,Becodisks 100microgram with Diskhaler (GlaxoSmithKline UK Ltd)
0302000C0BHABAL,Becodisks 100microgram,amp,3086011000001108,0302000C0BHABAL,Becodisks 100microgram (GlaxoSmithKline UK Ltd)
0302000C0BHACAH,Becodisks 200microgram with Diskhaler,amp,3096011000001109,0302000C0BHACAH,Becodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd)
0302000C0BHADAK,Becodisks 200microgram,amp,3099811000001109,0302000C0BHADAK,Becodisks 200microgram (GlaxoSmithKline UK Ltd)
0302000C0BHAEAJ,Becodisks 400microgram with Diskhaler,amp,3102211000001109,0302000C0BHAEAJ,Becodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd)
0302000C0BD,Ventide,,,,
0302000C0BHAFAQ,Becodisks 400microgram,amp,3104911000001109,0302000C0BHAFAQ,Becodisks 400microgram (GlaxoSmithKline UK Ltd)
0302000C0BIADBI,Asmabec 50 Clickhaler,amp,3111911000001108,0302000C0BIADBI,Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd)
0302000C0BDABAP,Ventide Rotacaps,,,,
0302000C0BIAEBJ,Asmabec 100 Clickhaler,amp,3112511000001109,0302000C0BIAEBJ,Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd)
0302000C0BDACBL,Ventide Paediatric Rotacaps,,,,
0302000C0BIAFBK,Asmabec 250 Clickhaler,amp,3174111000001102,0302000C0BIAFBK,Asmabec 250 Clickhaler (Focus Pharmaceuticals Ltd)
0302000C0BE,AeroBec,,,,
0302000C0BJAABE,Qvar 50 inhaler,amp,3176811000001102,0302000C0BJAABE,Qvar 50 inhaler (Teva UK Ltd)
0302000C0BEAAAS,AeroBec 50 Autohaler,,,,
0302000C0BJABBF,Qvar 100 inhaler,amp,3175611000001106,0302000C0BJABBF,Qvar 100 inhaler (Teva UK Ltd)
0302000C0BJACBG,Qvar 50 Autohaler,amp,3177411000001102,0302000C0BJACBG,Qvar 50 Autohaler (Teva UK Ltd)
0302000C0BJADBH,Qvar 100 Autohaler,amp,3177711000001108,0302000C0BJADBH,Qvar 100 Autohaler (Teva UK Ltd)
0302000C0BF,Beclazone,,,,
0302000C0BJAEBG,Qvar 50micrograms/dose Easi-Breathe inhaler,amp,8159511000001107,0302000C0BJAEBG,Qvar 50micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)
0302000C0BJAFBH,Qvar 100micrograms/dose Easi-Breathe inhaler,amp,8159711000001102,0302000C0BJAFBH,Qvar 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)
0302000C0BNAABU,Easyhaler Beclometasone 200micrograms/dose dry pdr inhaler,amp,9525111000001105,0302000C0BNAABU,Easyhaler Beclometasone 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
0302000C0BPAABE,Clenil Modulite 50micrograms/dose inhaler,amp,10617711000001103,0302000C0BPAABE,Clenil Modulite 50micrograms/dose inhaler (Chiesi Ltd)
0302000C0BPABBF,Clenil Modulite 100micrograms/dose inhaler,amp,10618211000001109,0302000C0BPABBF,Clenil Modulite 100micrograms/dose inhaler (Chiesi Ltd)
0302000C0BPACBV,Clenil Modulite 200micrograms/dose inhaler,amp,10619311000001107,0302000C0BPACBV,Clenil Modulite 200micrograms/dose inhaler (Chiesi Ltd)
0302000C0BPADBW,Clenil Modulite 250micrograms/dose inhaler,amp,10619611000001102,0302000C0BPADBW,Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd)
0302000C0BQAABX,Fostair 100micrograms/dose / 6micrograms/dose inhaler,amp,12906411000001100,0302000C0BQAABX,Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)
0302000C0BG,Filair,,,,
0302000C0BQABBZ,Fostair 200micrograms/dose / 6micrograms/dose inhaler,amp,31063411000001101,0302000C0BQABBZ,Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd)
0302000C0BRAABY,Fostair NEXThaler 100microg/dose / 6microg/dose dry pdr inh,amp,26112111000001106,0302000C0BRAABY,Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)
0302000C0BRABCA,Fostair NEXThaler 200microg/dose / 6microg/dose dry pdr inh,amp,31063111000001106,0302000C0BRABCA,Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd)
0302000C0BGACAC,Filair Forte 250micrograms/dose inhaler,,,,
0302000C0BSAABE,Kelhale 50micrograms/dose inhaler,amp,35430111000001100,0302000C0BSAABE,Kelhale 50micrograms/dose inhaler (Cipla EU Ltd)
0302000C0BH,Becodisks,,,,
0302000C0BSABBF,Kelhale 100micrograms/dose inhaler,amp,35430311000001103,0302000C0BSABBF,Kelhale 100micrograms/dose inhaler (Cipla EU Ltd)
0302000C0BTAABE,Soprobec 50micrograms/dose inhaler,amp,36603211000001106,0302000C0BTAABE,Soprobec 50micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)
0302000C0BTABBV,Soprobec 200micrograms/dose inhaler,amp,36603411000001105,0302000C0BTABBV,Soprobec 200micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)
0302000C0BTACBF,Soprobec 100micrograms/dose inhaler,amp,36603611000001108,0302000C0BTACBF,Soprobec 100micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)
0302000C0BTADBW,Soprobec 250micrograms/dose inhaler,amp,36603811000001107,0302000C0BTADBW,Soprobec 250micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd)
0302000K0BBADAD,Pulmicort 200micrograms/dose inhaler,amp,2924111000001109,0302000K0BBADAD,Pulmicort 200micrograms/dose inhaler (AstraZeneca UK Ltd)
0302000K0BBAEAA,Pulmicort LS 50micrograms/dose inhaler,amp,3240911000001108,0302000K0BBAEAA,Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd)
0302000C0BI,Asmabec,,,,
0302000K0BBAHAG,Pulmicort 200 Turbohaler,amp,3112411000001105,0302000K0BBAHAG,Pulmicort 200 Turbohaler (AstraZeneca UK Ltd)
0302000K0BBAIAH,Pulmicort 400 Turbohaler,amp,3228711000001106,0302000K0BBAIAH,Pulmicort 400 Turbohaler (AstraZeneca UK Ltd)
0302000K0BBAKAK,Pulmicort 100 Turbohaler,amp,3113111000001106,0302000K0BBAKAK,Pulmicort 100 Turbohaler (AstraZeneca UK Ltd)
0302000K0BBAMAZ,Pulmicort 100micrograms/dose inhaler CFC free,amp,14951111000001102,0302000K0BBAMAZ,Pulmicort 100micrograms/dose inhaler CFC free (AstraZeneca UK Ltd)
0302000C0BJ,Qvar,,,,
0302000K0BBANBA,Pulmicort 200micrograms/dose inhaler CFC free,amp,15358411000001102,0302000K0BBANBA,Pulmicort 200micrograms/dose inhaler CFC free (AstraZeneca UK Ltd)
0302000K0BDAAAL,Symbicort 100/6 Turbohaler,amp,3294211000001101,0302000K0BDAAAL,Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd)
0302000K0BDABAM,Symbicort 200/6 Turbohaler,amp,3294611000001104,0302000K0BDABAM,Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)
0302000K0BDACAU,Symbicort 400/12 Turbohaler,amp,4373811000001100,0302000K0BDACAU,Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd)
0302000K0BDADBB,Symbicort 200microg/dose / 6microg/dose pressurised inh,amp,32926011000001100,0302000K0BDADBB,Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (AstraZeneca UK Ltd)
0302000K0BFAAAV,Budelin Novolizer 200micrograms/dose inhalation powder,amp,8031811000001102,0302000K0BFAAAV,Budelin Novolizer 200micrograms/dose inhalation powder (Mylan)
0302000K0BFABAW,Budelin Novolizer 200micrograms/dose inhalation pdr refill,amp,9111811000001100,0302000K0BFABAW,Budelin Novolizer 200micrograms/dose inhalation powder refill (Mylan)
0302000C0BL,Pulvinal beclometasone,,,,
0302000K0BGAAAK,Easyhaler Budesonide 100micrograms/dose dry powder inhaler,amp,10073911000001106,0302000K0BGAAAK,Easyhaler Budesonide 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
0302000C0BLAABU,Pulvinal Beclometasone Diprop 200microg/dose dry pdr inh,,,,
0302000K0BGABAG,Easyhaler Budesonide 200micrograms/dose dry powder inhaler,amp,10074611000001102,0302000K0BGABAG,Easyhaler Budesonide 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
0302000C0BLABBJ,Pulvinal Beclometasone Diprop 100microg/dose dry pdr inh,,,,
0302000K0BGACAH,Easyhaler Budesonide 400micrograms/dose dry powder inhaler,amp,10074411000001100,0302000K0BGACAH,Easyhaler Budesonide 400micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)
0302000C0BLACBS,Pulvinal Beclometasone Diprop 400microg/dose dry pdr inh,,,,
